"distance m","value db"
0.0,17.773
3.19E-4,23.775
6.38E-4,25.511
9.57E-4,26.116
0.001277,25.805
0.001596,24.595
0.001915,22.816
0.002234,20.874
0.002553,18.396
0.002872,16.737
0.003192,15.471
0.003511,14.712
0.00383,14.349
0.005107,14.229
0.007021,14.091
0.008936,14.175
0.021703,14.117
0.038299,14.012
0.077874,14.055
0.079789,14.103
0.080108,14.185
0.104045,14.047
0.109151,13.99
0.126067,14.057
0.149684,14.011
0.150003,14.03
0.150323,14.06
0.150642,23.971
0.150961,28.921
0.15128,30.541
0.151599,31.079
0.151918,30.667
0.152238,29.344
0.152557,27.523
0.152876,25.619
0.153195,23.683
0.153514,21.747
0.153833,18.226
0.154152,16.527
0.154472,15.365
0.154791,14.833
0.15511,14.627
0.155429,14.499
0.155748,14.425
0.156067,14.41
0.156387,14.416
0.156706,14.392
0.157025,14.396
0.157344,14.392
0.157663,14.337
0.157982,14.337
0.158302,14.297
0.158621,14.261
0.15894,14.244
0.159259,14.224
0.159578,14.176
0.159897,14.131
0.160216,14.105
0.160536,14.09
0.160855,14.044
0.161174,13.924
0.161493,13.798
0.161812,13.717
0.162131,13.683
0.162451,13.675
0.16277,13.673
0.163089,13.672
0.163408,13.715
0.163727,13.702
0.164046,13.663
0.164365,13.646
0.164685,13.638
0.165004,13.631
0.165323,13.626
0.165642,13.625
0.165961,13.624
0.16628,13.624
0.1666,13.647
0.166919,13.669
0.238729,13.375
0.265857,13.316
0.266176,13.388
0.273836,13.453
0.293624,13.374
0.293943,13.445
0.29522,13.373
0.37086,13.418
0.467883,13.332
0.468202,13.267
0.470117,13.206
0.471394,13.256
0.473947,13.334
0.560758,13.17
0.56746,13.277
0.567779,13.352
0.638951,13.123
0.640547,13.221
0.652994,13.265
0.65459,13.225
0.68076,13.269
0.68108,13.201
0.685548,13.165
0.685867,13.085
0.686824,13.14
0.696718,13.162
0.710123,13.22
0.710442,13.287
0.733421,13.17
0.757677,13.108
0.768209,13.194
0.769167,13.181
0.769486,13.1
0.776826,13.153
0.781614,13.23
0.804912,13.168
0.820551,13.119
0.826615,13.107
0.827572,13.166
0.838104,13.169
0.855339,13.212
0.861084,13.107
0.861403,13.037
0.861722,13.101
0.880552,13.1
0.880871,13.024
0.881829,13.094
0.909595,13.087
0.909915,12.975
0.910872,13.039
0.911191,13.131
0.913106,13.088
0.921404,13.029
0.922043,13.067
0.931298,13.183
0.933532,13.102
0.933851,13.02
0.97981,13.141
0.980448,13.136
0.996087,13.111
0.996406,13.036
1.043641,13.112
1.04396,13.201
1.052897,13.103
1.056727,13.103
1.057046,13.175
1.111302,13.065
1.194921,13.034
1.230667,12.959
1.232582,12.989
1.24822,12.977
1.279498,13.043
1.300562,12.96
1.300881,13.072
1.32769,13.023
1.328009,13.094
1.329286,12.992
1.336307,13.035
1.352904,13.093
1.390883,12.938
1.477694,12.914
1.585888,12.96
1.658017,12.887
1.679081,12.881
1.798765,12.895
1.843766,12.823
1.844085,12.756
1.915257,12.815
1.915576,12.745
1.935683,12.753
1.936002,12.667
1.952598,12.849
1.952917,12.761
2.029515,12.717
2.083452,12.814
2.108347,12.642
2.109304,12.674
2.109623,12.74
2.112176,12.765
2.120155,12.79
2.165795,12.795
2.166114,12.862
2.209519,12.594
2.211115,12.622
2.211434,12.691
2.227711,12.709
2.406758,12.638
2.423673,12.657
2.432609,12.624
2.495164,12.651
2.495483,12.729
2.496441,12.596
2.511122,12.577
2.524846,12.598
2.599209,12.584
2.756553,12.535
2.762298,12.541
2.797724,12.639
2.80315,12.513
2.813044,12.563
2.817193,12.478
2.832193,12.402
2.880705,12.536
2.885173,12.476
2.896344,12.459
2.896663,12.523
2.933685,12.428
2.948685,12.473
2.953153,12.417
2.974537,12.49
3.023049,12.505
3.023368,12.573
3.091029,12.438
3.118157,12.376
3.118476,12.464
3.185499,12.389
3.185818,12.323
3.301672,12.432
3.327843,12.347
3.34412,12.421
3.443377,12.374
3.443697,12.458
3.444654,12.334
3.444973,12.202
3.453271,12.343
3.454548,12.266
3.476889,12.281
3.513911,12.275
3.515188,12.26
3.516464,12.272
3.575508,12.247
3.641254,12.26
3.658808,12.192
3.659127,12.123
3.660723,12.238
3.663595,12.212
3.664553,12.273
3.671574,12.147
3.671893,12.076
3.672851,12.169
3.738916,12.133
3.738916,12.133
3.739235,12.05
3.739554,28.9
3.739874,36.422
3.740193,37.812
3.740512,38.047
3.740831,37.985
3.74115,37.117
3.741469,35.447
3.741789,33.632
3.742108,31.797
3.742427,29.935
3.742746,28.032
3.743065,26.136
3.743384,19.136
3.743704,17.997
3.744023,17.276
3.744342,16.835
3.744661,16.551
3.74498,16.352
3.745299,16.175
3.745618,16.014
3.745938,15.823
3.746257,15.677
3.746576,15.565
3.746895,15.451
3.747214,15.349
3.747533,15.222
3.747853,15.114
3.748172,14.972
3.748491,14.81
3.74881,14.749
3.749129,14.671
3.749448,14.569
3.749767,14.46
3.750087,14.383
3.750406,14.329
3.750725,14.259
3.751044,14.164
3.751363,14.051
3.751682,13.91
3.752002,13.836
3.752321,13.899
3.75264,13.92
3.752959,13.791
3.753278,13.719
3.753597,13.692
3.753917,13.676
3.754236,13.584
3.754555,13.494
3.754874,13.447
3.755193,13.361
3.755512,13.301
3.755831,13.265
3.756151,13.255
3.75647,13.25
3.756789,13.215
3.757108,13.198
3.757427,13.126
3.757746,13.06
3.758066,13.04
3.758385,13.029
3.758704,13.024
3.759023,13.021
3.759342,13.019
3.759661,13.018
3.75998,12.95
3.7603,12.847
3.760619,12.798
3.760938,12.779
3.761257,12.744
3.761576,12.715
3.761895,12.708
3.762215,12.71
3.762534,12.714
3.762853,12.714
3.763172,12.676
3.763491,12.714
3.76381,12.701
3.76413,12.647
3.764449,12.61
3.764768,12.573
3.765087,12.609
3.765406,12.596
3.765725,12.554
3.766044,12.454
3.766364,12.359
3.766683,12.334
3.767002,12.332
3.767321,12.296
3.76764,12.247
3.767959,12.226
3.768279,12.222
3.768598,12.2
3.768917,12.18
3.769236,12.174
3.769555,12.164
3.769874,12.155
3.770193,12.149
3.770513,12.131
3.770832,12.12
3.771151,12.084
3.77147,12.054
3.771789,12.048
3.772108,12.048
3.772428,12.048
3.772747,12.048
3.773066,12.023
3.773385,11.977
3.773704,11.929
3.774023,11.904
3.774343,11.9
3.774662,11.9
3.774981,11.868
3.7753,11.833
3.775619,11.822
3.775938,11.821
3.776257,11.813
3.776577,11.793
3.776896,11.793
3.777215,11.81
3.777534,11.819
3.777853,11.821
3.778172,11.787
3.778492,11.756
3.778811,11.75
3.77913,11.781
